date,foreign_stock_net
2024-07-01,84028010000.0
2024-07-02,180718827600.0
2024-07-03,-3484656600.0
2024-07-04,665455741800.0
2024-07-05,1180606603100.0
2024-07-08,343469731700.0
2024-07-09,331222148100.0
2024-07-10,304149140200.0
2024-07-11,205788944100.0
2024-07-12,-307982724600.0
2024-07-15,-58669391400.0
2024-07-16,178304085700.0
2024-07-17,35374268000.0
2024-07-18,-76992309100.0
2024-07-19,-248075662600.0
2024-07-22,-29973944300.0
2024-07-23,208613200600.0
2024-07-24,-216076706100.0
2024-07-25,15838994300.0
2024-07-26,-143549637100.0
2024-07-29,4315834000.0
2024-07-30,-24903453300.0
2024-07-31,138809752700.0
2024-08-01,29180215800.0
2024-08-02,-288083120500.0
2024-08-05,-1224837025400.0
2024-08-06,-182816121900.0
2024-08-07,81757546300.0
2024-08-08,-240339065200.0
2024-08-09,42144538200.0
2024-08-12,35994225500.0
2024-08-13,141393295700.0
2024-08-14,158134625700.0
2024-08-16,518537518100.0
2024-08-19,-115378245600.0
2024-08-20,73385166200.0
2024-08-21,6352021900.0
2024-08-22,24404713600.0
2024-08-23,-90096856900.0
2024-08-26,-285126199700.0
2024-08-27,-109625646100.0
2024-08-28,-110697530100.0
2024-08-29,-333962756200.0
2024-08-30,-187241751600.0
2024-09-02,137715831800.0
2024-09-03,-423880792700.0
2024-09-04,-516520456300.0
2024-09-05,-606058190100.0
2024-09-06,-166221071500.0
2024-09-09,-385829881400.0
2024-09-10,-585688008100.0
2024-09-11,-905501389300.0
2024-09-12,-342490074000.0
2024-09-13,-784564713200.0
2024-09-19,-917840786000.0
2024-09-20,-399901603700.0
2024-09-23,-632538802200.0
2024-09-24,-476111760800.0
2024-09-25,-553519463500.0
2024-09-26,-239416949300.0
2024-09-27,-102399739600.0
2024-09-30,-690514481800.0
2024-10-02,-110593159300.0
2024-10-04,-316633106600.0
2024-10-07,-538840975000.0
2024-10-08,-250554454200.0
2024-10-10,-321068840600.0
2024-10-11,-392648684500.0
2024-10-14,-94073075000.0
2024-10-15,-62384766900.0
2024-10-16,-272614342600.0
2024-10-17,-278009772800.0
2024-10-18,-172316664800.0
2024-10-21,-41285875600.0
2024-10-22,-285590661000.0
2024-10-23,-51148894000.0
2024-10-24,-654576360800.0
2024-10-25,-322394845400.0
2024-10-28,9893352300.0
2024-10-29,8520495600.0
2024-10-30,-184204710300.0
2024-10-31,-116448453000.0
2024-11-01,-124322557400.0
2024-11-04,-124410777500.0
2024-11-05,-180599620400.0
2024-11-06,-147867648400.0
2024-11-07,-22294402900.0
2024-11-08,-90674382300.0
2024-11-11,-539566631400.0
2024-11-12,-429929962700.0
2024-11-13,-731946934700.0
2024-11-14,-469715463100.0
2024-11-15,128793491100.0
2024-11-18,-161450403500.0
2024-11-19,-127724587700.0
2024-11-20,-68500678000.0
2024-11-21,-39449192200.0
2024-11-22,-179141329800.0
2024-11-25,-8935390700.0
2024-11-26,53137121500.0
2024-11-27,-282253861100.0
2024-11-28,-187008147200.0
2024-11-29,-199742346400.0
2024-12-02,-212591469300.0
2024-12-03,-112421181000.0
2024-12-04,-75662619300.0
2024-12-05,-139453890700.0
2024-12-06,-70955896200.0
2024-12-09,-73864468700.0
2024-12-10,-131841047500.0
2024-12-11,-80720291600.0
2024-12-12,-57638464400.0
2024-12-13,-110726400600.0
2024-12-16,-169873143600.0
2024-12-17,-232473728800.0
2024-12-18,40920204300.0
2024-12-19,-327745823300.0
2024-12-20,-249834853800.0
2024-12-23,-44488165300.0
2024-12-24,103093057000.0
2024-12-26,-73581477500.0
2024-12-27,-2171267300.0
2024-12-30,-143037494300.0
2025-01-02,-51800676500.0
2025-01-03,34599915100.0
2025-01-06,94941095900.0
2025-01-07,-49330400000.0
2025-01-08,273346985300.0
2025-01-09,42830870100.0
2025-01-10,-110224574600.0
2025-01-13,-251720723300.0
2025-01-14,-200614063100.0
2025-01-15,-144953348800.0
2025-01-16,55219253000.0
2025-01-17,-271044219800.0
2025-01-20,-134954023500.0
2025-01-21,-43502391600.0
2025-01-22,-70825233200.0
2025-01-23,-103819854600.0
2025-01-24,-95987475600.0
2025-01-31,-700525851600.0
2025-02-03,-402099934400.0
2025-02-04,190582196700.0
2025-02-05,-115391053500.0
2025-02-06,54603694800.0
2025-02-07,-107456573900.0
2025-02-10,41573797900.0
2025-02-11,40037165000.0
2025-02-12,381646656084.0
2025-02-13,-114256919200.0
2025-02-14,-51177779000.0
2025-02-17,-71416090800.0
2025-02-18,133144361100.0
2025-02-19,110646699700.0
2025-02-20,14482177500.0
2025-02-21,-56217060100.0
2025-02-24,10769041600.0
2025-02-25,38361635600.0
2025-02-26,-211836087200.0
2025-02-27,36550751900.0
2025-02-28,-186537932900.0
2025-03-04,-35366421850.0
2025-03-05,-121662553200.0
2025-03-06,-62015487400.0
2025-03-07,-146370389350.0
2025-03-10,-78956777400.0
2025-03-11,-24598717350.0
2025-03-12,127254346050.0
2025-03-13,-162604165050.0
2025-03-14,-105623111350.0
2025-03-17,489616643000.0
2025-03-18,217272587650.0
2025-03-19,276656301850.0
2025-03-20,501280668900.0
2025-03-21,480766938600.0
2025-03-24,-39306265600.0
2025-03-25,-3326965700.0
2025-03-26,142267244100.0
2025-03-27,320504568300.0
2025-03-28,-95280054450.0
2025-03-31,-208714831450.0
2025-04-01,-101220944950.0
2025-04-02,-27692514800.0
2025-04-03,-304250289750.0
2025-04-04,-410030096900.0
2025-04-07,-658737467750.0
2025-04-08,-220127019750.0
2025-04-09,-143646302450.0
2025-04-10,-11996084200.0
2025-04-11,-224397620250.0
2025-04-14,51178284950.0
2025-04-15,37478533650.0
2025-04-16,-267635741800.0
2025-04-17,-113377234850.0
2025-04-18,27355805550.0
2025-04-21,-2960639500.0
