date,foreign_stock_net
2025-04-22,-100226125800.0
2025-04-23,-82756423400.0
2025-04-24,2773295500.0
2025-04-25,-87539266200.0
2025-04-28,-35649241750.0
2025-04-29,-9242543950.0
2025-04-30,-90233265600.0
2025-05-02,-656238792200.0
2025-05-07,-128718876100.0
2025-05-08,5034293150.0
2025-05-09,-141634250.0
2025-05-12,134359724900.0
2025-05-13,4429279450.0
2025-05-14,-9591462350.0
2025-05-15,165067957850.0
2025-05-16,-72732832700.0
2025-05-19,-34287548100.0
2025-05-20,-39379715750.0
2025-05-21,-47213632000.0
2025-05-22,-173136697850.0
2025-05-23,-142508211100.0
2025-05-26,-113064227450.0
2025-05-27,-269834988600.0
2025-05-28,118132751750.0
2025-05-29,-8299665450.0
2025-05-30,-7605824750.0
2025-06-02,49110828550.0
2025-06-04,119775101650.0
2025-06-05,281318315200.0
2025-06-09,309135095150.0
2025-06-10,-54533069200.0
2025-06-11,133535624000.0
2025-06-12,19403756100.0
2025-06-13,766874250.0
2025-06-16,-396864890450.0
2025-06-17,107060714150.0
2025-06-18,228077295250.0
2025-06-19,-25749834800.0
2025-06-20,-49695351050.0
2025-06-23,-77738467950.0
2025-06-24,327219616900.0
2025-06-25,120160165650.0
2025-06-26,-100832228150.0
2025-06-27,37663783850.0
2025-06-30,-317875914000.0
2025-07-01,8380303300.0
2025-07-02,-21101593150.0
2025-07-03,563955013650.0
2025-07-04,-11738923300.0
2025-07-07,-175645428850.0
2025-07-08,-117906761950.0
2025-07-09,-202303563250.0
2025-07-10,39480999200.0
2025-07-11,307774681950.0
2025-07-14,-42573173300.0
2025-07-15,230360343350.0
2025-07-16,372330848400.0
2025-07-17,525417682400.0
2025-07-18,397374263450.0
2025-07-21,190992989150.0
2025-07-22,-46112332150.0
2025-07-23,-71874241800.0
2025-07-24,41625005800.0
2025-07-25,50573911250.0
2025-07-28,681049551300.0
2025-07-29,252152360850.0
2025-07-30,587511643450.0
2025-07-31,-74141829600.0
2025-08-01,-35045531050.0
2025-08-04,-32312982250.0
2025-08-05,-178083617350.0
2025-08-06,-41987010150.0
2025-08-07,-27330730550.0
2025-08-08,165169406950.0
2025-08-11,-144363066250.0
2025-08-12,37612584850.0
2025-08-13,20830893700.0
2025-08-14,-129834295600.0
2025-08-18,-174502855650.0
2025-08-19,-73385808500.0
2025-08-20,5757552400.0
2025-08-21,137146379450.0
2025-08-22,30940544000.0
2025-08-25,-137020942000.0
2025-08-26,-160096063850.0
2025-08-27,-59270712350.0
2025-08-28,-242019520950.0
2025-08-29,-124277529750.0
2025-09-01,-183723040100.0
2025-09-02,132038755350.0
2025-09-03,96569944150.0
2025-09-04,29136214600.0
2025-09-05,-107883365100.0
2025-09-08,48029560650.0
2025-09-09,273148160150.0
2025-09-10,382780462850.0
2025-09-11,-5512066300.0
2025-09-12,791826522150.0
2025-09-15,261709641150.0
2025-09-16,1024562825300.0
2025-09-17,166415105000.0
2025-09-18,349313494550.0
2025-09-19,10838944900.0
2025-09-22,665270173550.0
2025-09-23,163068934650.0
2025-09-24,68289990650.0
2025-09-25,419151228200.0
2025-09-26,130544274700.0
2025-09-29,88121582900.0
2025-09-30,106426146200.0
2025-10-01,526982279850.0
2025-10-02,1714113426300.0
2025-10-10,598803762950.0
2025-10-13,-223933018750.0
2025-10-14,251186034250.0
2025-10-15,163225599050.0
2025-10-16,558691315650.0
2025-10-17,396817880600.0
2025-10-20,-96761722800.0
2025-10-21,67130419700.0
2025-10-22,-48035068150.0
2025-10-23,-115117256800.0
2025-10-24,515222827200.0
2025-10-27,786814695900.0
2025-10-28,-257879125000.0
2025-10-29,-201262276750.0
2025-10-30,532743874300.0
2025-10-31,1795038804165.0
2025-11-03,-273303284800.0
2025-11-04,-593764219200.0
2025-11-05,-163159151750.0
2025-11-06,-723578977100.0
2025-11-07,256575904950.0
2025-11-10,72448937850.0
2025-11-11,235451708500.0
2025-11-12,-444072445800.0
2025-11-13,194031044900.0
2025-11-14,-585912464600.0
2025-11-17,304598292000.0
2025-11-18,83267938600.0
2025-11-19,-200812438900.0
2025-11-20,529221928200.0
2025-11-21,-794721310450.0
2025-11-24,33917215850.0
2025-11-25,9805152350.0
2025-11-26,210082527850.0
2025-11-27,149879193700.0
2025-11-28,-518361842350.0
2025-12-01,-1366801250.0
2025-12-02,425848118700.0
2025-12-03,132062276400.0
2025-12-04,-2536744250.0
2025-12-05,435663672950.0
2025-12-08,157374748050.0
2025-12-09,-388945857200.0
2025-12-10,-93873636250.0
2025-12-11,267932913350.0
2025-12-12,-92836839500.0
2025-12-15,-698102575350.0
2025-12-16,-177868009600.0
2025-12-17,234617126100.0
2025-12-18,-93495530350.0
2025-12-19,-722729880500.0
2025-12-22,795144233350.0
2025-12-23,599484000750.0
2025-12-24,51201627250.0
2025-12-26,1253478219550.0
2025-12-29,-551379459450.0
2025-12-30,-148468849150.0
2026-01-02,301244475700.0
2026-01-05,337313023300.0
2026-01-06,-1513220525150.0
2026-01-07,290978846400.0
2026-01-08,-525045594850.0
2026-01-09,-917132512450.0
2026-01-12,-948550787250.0
2026-01-13,-519984301000.0
2026-01-14,22727796150.0
2026-01-15,37795272850.0
2026-01-16,120909187800.0
2026-01-19,-7190644350.0
2026-01-20,-428779770050.0
2026-01-21,973521410850.0
2026-01-22,208374401000.0
2026-01-23,-265221499900.0
2026-01-26,110249989350.0
2026-01-27,551634900400.0
2026-01-28,-284452502800.0
2026-01-29,-1195225917650.0
2026-01-30,-588348762600.0
2026-02-02,-969950841500.0
2026-02-03,664792254950.0
2026-02-04,-933438220200.0
2026-02-05,-2587455682700.0
2026-02-06,-889137101400.0
2026-02-09,86564656250.0
2026-02-10,307308863050.0
2026-02-11,619491602300.0
2026-02-12,2385692529300.0
2026-02-13,-855005617700.0
2026-02-19,-1067140107300.0
2026-02-20,-2055002065100.0
2026-02-23,-1147769330250.0
2026-02-24,-449639521650.0
2026-02-25,-1785674871000.0
2026-02-26,-1663473646250.0
2026-02-27,-4224234828250.0
2026-03-03,-3196726141600.0
2026-03-04,-695276560100.0
2026-03-05,-336092254000.0
2026-03-06,-1157432886050.0
2026-03-09,-1379458918250.0
2026-03-10,775928095600.0
2026-03-11,-148807660000.0
2026-03-12,-912239123350.0
2026-03-13,-518780435050.0
2026-03-16,-91357709200.0
2026-03-17,74981949450.0
2026-03-18,280225936600.0
2026-03-19,-428151636150.0
2026-03-20,-77999296884.0
2026-03-23,-1511720792600.0
2026-03-24,-1169007225350.0
2026-03-25,-1179334202750.0
2026-03-26,-2031998385250.0
2026-03-27,-1792987722450.0
2026-03-30,-695678544350.0
2026-03-31,-1981537736250.0
2026-04-01,-10844465750.0
2026-04-02,-257729805250.0
2026-04-03,96569944450.0
2026-04-06,231710389800.0
2026-04-07,-539062978900.0
2026-04-08,497216012250.0
2026-04-09,2274646870808.0
2026-04-10,98604869500.0
2026-04-13,-287917483650.0
2026-04-14,-103147227000.0
2026-04-15,14649703000.0
2026-04-16,370624331500.0
2026-04-17,-687656031000.0
2026-04-20,-621011898000.0
2026-04-21,283999902500.0
2026-04-22,-281816028500.0
2026-04-23,748672544250.0
2026-04-24,-1074873719000.0
2026-04-27,1009180671250.0
2026-04-28,-683231102000.0
2026-04-29,455321359250.0
2026-04-30,-173923219000.0
2026-05-04,1197105387250.0
2026-05-06,3084937366750.0
2026-05-07,-2780444758750.0
2026-05-08,-2538322067000.0
2026-05-11,-2277817724500.0
2026-05-12,-2200286259500.0
2026-05-13,-1544725915500.0
2026-05-14,228202526000.0
2026-05-15,-2486733891500.0
2026-05-18,-1241475109250.0
2026-05-19,-2535541066250.0
2026-05-20,-1579582653000.0
2026-05-21,1095425775500.0
2026-05-22,-1007516397750.0
2026-05-26,570584965790.0
2026-05-27,-80850568000.0
2026-05-28,-1550075005250.0
2026-05-29,-327749924500.0
2026-06-01,-41530027000.0
2026-06-02,-3935056992250.0
2026-06-04,-4394220388500.0
2026-06-05,-1405864076000.0
2026-06-08,-350129591750.0
2026-06-09,-490882226250.0
2026-06-10,-1169228655500.0
2026-06-11,173036022750.0
2026-06-12,962781757250.0
2026-06-15,-618766968250.0
2026-06-16,-6531322000.0
2026-06-17,-667959113000.0
2026-06-18,872676611000.0
2026-06-19,-899492226750.0
2026-06-22,-436576500000.0
2026-06-23,-761094773500.0
2026-06-24,-181872169250.0
2026-06-25,-628737872000.0
2026-06-26,-2014228612250.0
